Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Ampacity,Baud_Rate,Configuration,Data_Length,Dielectric,Digi-Key PN,Flow_Control,Parity,Stop_Bits,Tolerance,Voltage,Wattage,display_footprint
90,1,U602,LT3757,Custom_Library:LT3757,Housings_DFN_QFN:DFN-10-1EP_3x3mm_Pitch0.5mm,http://www.analog.com/media/en/technical-documentation/data-sheets/3757Afe.pdf,,,,,,LT3757EDD#PBF-ND,,,,,,,
91,1,U1001,PIC32MZ0512EFE064T-I_PT,Custom_Library:PIC32MZ0512EFE064T-I_PT,Package_QFP:TQFP-64_10x10mm_P0.5mm,http://ww1.microchip.com/downloads/en/DeviceDoc/60001320E.pdf,,,,,,PIC32MZ0512EFE064T-I/PTCT-ND,,,,,,,
92,1,U1201,DS3231MZ,Timer_RTC:DS3231MZ,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,http://datasheets.maximintegrated.com/en/ds/DS3231M.pdf,,,,,,DS3231MZ+-ND,,,,,,,
93,1,U1202,TLV6700,Custom_Library:TLV6700,TO_SOT_Packages_SMD:SOT-23-6,http://www.ti.com/lit/ds/symlink/tlv6700.pdf,,,,,,296-51696-1-ND,,,,,,,
94,1,U1302,FT234XD,Custom_Library:FT234XD,Housings_DFN_QFN:DFN-12-1EP_3x3mm_Pitch0.45mm,http://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT234XD.pdf,,,,,,768-1178-1-ND,,,,,,,
95,1,U1304,TXB0102DCU,Logic_LevelTranslator:TXB0102DCU,Package_SO:VSSOP-8_2.4x2.1mm_P0.5mm,http://www.ti.com/lit/ds/symlink/txb0102.pdf,,,,,,296-22862-1-ND,,,,,,,
96,1,U1305,TPD3S014DBVR,Custom_Library:TPD3S014DBVR,TO_SOT_Packages_SMD:SOT-23-6,http://www.ti.com/lit/ds/symlink/tpd3s014.pdf,,,,,,296-38835-1-ND,,,,,,,
97,1,U1501,DS1683,Custom_Library:DS1683,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,https://datasheets.maximintegrated.com/en/ds/DS1683.pdf,,,,,,DS1683S+-ND,,,,,,,
98,12,"U1601, U1602, U1604, U1606, U1701, U1702, U1703, U1704, U2301, U2302, U2303, U2304",74LVC1G06,Custom_Library:74LVC1G06_Power,TO_SOT_Packages_SMD:SOT-353_SC-70-5,http://www.ti.com/lit/ds/symlink/sn74lvc1g06.pdf,,,,,,296-8484-1-ND,,,,,,,
99,1,U1603,LP2985-3.3,Regulator_Linear:LP2985-3.3,Package_TO_SOT_SMD:SOT-23-5,http://www.ti.com/lit/ds/symlink/lp2985.pdf,,,,,,LP2985IM5X-3.3/NOPBCT-ND,,,,,,,
